,date,bid price,ask price,imba,weighted price,type,trade price
0,000000413,198476.37615,198620.54795,181,198520.87738,submit/cancel,NA
1,000000413,198476.37615,198620.51724,182,198520.65678,submit/cancel,NA
2,000000432,198476.37615,198620.51724,182,198520.65678,submit/cancel,NA
3,000000481,198476.37615,198620.8042,184,198520.31915,submit/cancel,NA
4,000000512,198476.37195,198620.8042,185,198520.22293,submit/cancel,NA
5,000000932,198476.81818,198620.8042,187,198520.34884,submit/cancel,NA
6,000001048,198476.81818,198621.00694,186,198520.62236,submit/cancel,NA
7,000005731,198477.25904,198621.00694,188,198520.7458,submit/cancel,NA
8,000005732,198477.25904,198621.15385,189,198520.57895,submit/cancel,NA
9,000005741,198477.47748,198621.15385,190,198520.64076,submit/cancel,NA
10,000005775,198477.48494,198621.15385,189,198520.73684,submit/cancel,NA
11,000005828,198477.55255,198621.15385,190,198520.69328,submit/cancel,NA
12,000006940,198477.76946,198621.15385,191,198520.75472,submit/cancel,NA
13,000006940,198477.98507,198621.15385,192,198520.8159,submit/cancel,NA
14,000006940,198477.98507,198621.30282,193,198520.6499,submit/cancel,NA
15,000006940,198477.98507,198621.35036,198,198519.59746,submit/cancel,NA
16,000007708,198478.0506,198621.35036,199,198519.55603,submit/cancel,NA
17,000007834,198477.98507,198621.35036,198,198519.59746,submit/cancel,NA
18,000008166,198478.1994,198621.35036,199,198519.66173,submit/cancel,NA
19,000010055,198478.125,198621.35036,199,198519.60888,submit/cancel,NA
20,000011218,198478.1994,198621.35036,199,198519.66173,submit/cancel,NA
21,000013359,198478.61357,198621.35036,202,198519.69538,submit/cancel,NA
22,000013923,198478.61357,198621.69118,203,198519.57895,submit/cancel,NA
23,000013927,198478.61357,198622.38806,205,198519.34461,submit/cancel,NA
24,000014087,198478.82353,198622.38806,206,198519.40928,submit/cancel,NA
25,000014585,198478.82353,198622.03704,205,198519.52632,submit/cancel,NA
26,000016222,198479.03226,198622.03704,206,198519.59034,submit/cancel,NA
27,000017143,198479.03226,198622.74436,208,198519.35654,submit/cancel,NA
28,000017144,198479.23977,198622.74436,209,198519.42105,submit/cancel,NA
29,000017144,198479.30029,198622.74436,210,198519.38025,submit/cancel,NA
30,000017244,198479.30029,198623.47328,212,198519.14557,submit/cancel,NA
