type,time,bid price,ask price,imba,weighted price,buy/sell,trade volume,trade price
trade,000019195,198458.57771,198744.45433,-161,198616.60656,1,7.0,198575.0
trade,000021505,198452.73649,198739.91935,-4,198596.71496,0,12.0,198575.0
trade,000021506,198452.73649,198740.84459,0,198596.79054,1,5.0,198575.0
trade,000021507,198461.81358,198747.99514,-131,198617.27723,1,1.0,198575.0
trade,000021507,198461.64978,198747.99514,-132,198617.30515,0,1.0,198575.0
trade,000021507,198460.6094,198747.16867,-149,198618.01787,0,1.0,198575.0
trade,000024115,198433.86179,198746.81107,-216,198613.71024,0,20.0,198550.0
trade,000024450,198413.28697,198732.41094,-103,198584.03676,0,3.0,198550.0
trade,000029072,198430.85284,198732.54777,-187,198602.09689,1,1.0,198575.0
trade,000031530,198446.24352,198745.21403,-262,198623.30986,1,10.0,198575.0
trade,000045683,198449.32109,198747.55139,-201,198619.06401,0,1.0,198575.0
trade,000047090,198448.91827,198747.55139,-203,198619.12474,0,2.0,198575.0
trade,000047094,198440.15038,198747.01807,-165,198610.51839,0,2.0,198575.0
